jd,filter,fnu,efnu,flam,eflam,mag,emag,corrmag,date,wave,Llambda,Llambda_unc,mjd,tmax_of,absmag,eabsmag,redshift
2459700.675,r,6.98E-05,-3.24E-06,5.28E-17,-2.45E-18,19.29002886,0.051514857,19.29002886,2022 5 1,6300,1.33E+38,-6.14E+36,59700.17543,25.1754282,-16.51670472,0.051514857,0.033
2459700.742,g,3.35E-05,-2.56E-06,4.36E-17,-3.33E-18,20.08895484,0.086392023,20.08895484,2022 5 1,4800,1.09E+38,-8.37E+36,59700.24237,25.2423727,-15.71777875,0.086392023,0.033
2459700.743,g,3.73E-05,-2.86E-06,4.86E-17,-3.72E-18,19.96958121,0.08646476,19.96958121,2022 5 1,4800,1.22E+38,-9.35E+36,59700.24284,25.2428356,-15.83715238,0.08646476,0.033
2459700.763,g,3.29E-05,-2.57E-06,4.29E-17,-3.35E-18,20.10673395,0.088266389,20.10673395,2022 5 1,4800,1.08E+38,-8.41E+36,59700.26275,25.2627546,-15.69999964,0.088266389,0.033
2459700.763,g,3.82E-05,-3.32E-06,4.98E-17,-4.33E-18,19.94430009,0.098727199,19.94430009,2022 5 1,4800,1.25E+38,-1.09E+37,59700.26322,25.2632176,-15.8624335,0.098727199,0.033
2459700.782,r,6.59E-05,-3.64E-06,4.98E-17,-2.75E-18,19.35310838,0.061773212,19.35310838,2022 5 1,6300,1.25E+38,-6.92E+36,59700.28243,25.2824306,-16.4536252,0.061773212,0.033
2459700.806,r,7.29E-05,-2.78E-06,5.51E-17,-2.10E-18,19.24377277,0.042194579,19.24377277,2022 5 1,6300,1.38E+38,-5.27E+36,59700.30641,25.306412,-16.56296082,0.042194579,0.033
2459700.807,r,7.15E-05,-3.80E-06,5.40E-17,-2.88E-18,19.26492407,0.059400277,19.26492407,2022 5 1,6300,1.36E+38,-7.22E+36,59700.30689,25.3068866,-16.54180951,0.059400277,0.033
2459700.807,r,6.42E-05,-2.89E-06,4.85E-17,-2.18E-18,19.38197324,0.050028678,19.38197324,2022 5 1,6300,1.22E+38,-5.49E+36,59700.30736,25.3073611,-16.42476035,0.050028678,0.033
2459700.823,i,6.97E-05,-5.85E-06,3.44E-17,-2.89E-18,19.29204636,0.095214751,19.29204636,2022 5 1,7800,8.63E+37,-7.25E+36,59700.32272,25.3227199,-16.51468723,0.095214751,0.033
2459700.824,i,7.22E-05,-5.39E-06,3.56E-17,-2.66E-18,19.25321232,0.084148439,19.25321232,2022 5 1,7800,8.95E+37,-6.67E+36,59700.32436,25.3243634,-16.55352126,0.084148439,0.033
2459700.841,g,3.14E-05,-2.62E-06,4.09E-17,-3.41E-18,20.15648887,0.094436576,20.15648887,2022 5 1,4800,1.03E+38,-8.57E+36,59700.34095,25.3409491,-15.65024471,0.094436576,0.033
2459700.868,g,3.56E-05,-2.42E-06,4.63E-17,-3.15E-18,20.02237268,0.076493057,20.02237268,2022 5 1,4800,1.16E+38,-7.92E+36,59700.3677,25.3676968,-15.7843609,0.076493057,0.033
2459701.809,g,4.00E-05,-2.43E-06,5.21E-17,-3.16E-18,19.89412455,0.06798736,19.89412455,2022 5 2,4800,1.31E+38,-7.95E+36,59701.30859,26.308588,-15.91260904,0.06798736,0.033
2459701.847,g,4.17E-05,-3.49E-06,5.42E-17,-4.54E-18,19.85093723,0.094959572,19.85093723,2022 5 2,4800,1.36E+38,-1.14E+37,59701.34728,26.3472801,-15.95579636,0.094959572,0.033
2459701.887,g,3.62E-05,-2.94E-06,4.71E-17,-3.83E-18,20.00333783,0.091932975,20.00333783,2022 5 2,4800,1.18E+38,-9.61E+36,59701.38692,26.3869213,-15.80339576,0.091932975,0.033
2459701.891,g,4.40E-05,-2.57E-06,5.74E-17,-3.35E-18,19.79020994,0.065347887,19.79020994,2022 5 2,4800,1.44E+38,-8.42E+36,59701.39134,26.3913426,-16.01652365,0.065347887,0.033
2459701.927,g,4.43E-05,-2.31E-06,5.76E-17,-3.01E-18,19.78513527,0.058185599,19.78513527,2022 5 2,4800,1.45E+38,-7.55E+36,59701.42742,26.427419,-16.02159832,0.058185599,0.033
2459701.928,g,3.57E-05,-2.72E-06,4.65E-17,-3.54E-18,20.01776929,0.085914951,20.01776929,2022 5 2,4800,1.17E+38,-8.89E+36,59701.42788,26.4278819,-15.78896429,0.085914951,0.033
2459702.673,r,7.46E-05,-5.23E-06,5.64E-17,-3.95E-18,19.21811804,0.078927149,19.21811804,2022 5 3,6300,1.42E+38,-9.93E+36,59702.17253,27.1725347,-16.58861555,0.078927149,0.033
2459702.783,g,3.76E-05,-2.69E-06,4.89E-17,-3.50E-18,19.96243858,0.080541632,19.96243858,2022 5 3,4800,1.23E+38,-8.79E+36,59702.28272,27.2827199,-15.844295,0.080541632,0.033
2459702.783,g,5.04E-05,-2.41E-06,6.56E-17,-3.14E-18,19.64394248,0.053176972,19.64394248,2022 5 3,4800,1.65E+38,-7.88E+36,59702.28319,27.2831944,-16.16279111,0.053176972,0.033
2459702.784,g,4.40E-05,-2.72E-06,5.73E-17,-3.54E-18,19.79106234,0.069138861,19.79106234,2022 5 3,4800,1.44E+38,-8.88E+36,59702.28367,27.283669,-16.01567125,0.069138861,0.033
2459702.809,g,4.87E-05,-2.39E-06,6.35E-17,-3.11E-18,19.68055565,0.054527895,19.68055565,2022 5 3,4800,1.59E+38,-7.81E+36,59702.30929,27.309294,-16.12617794,0.054527895,0.033
2459702.823,g,4.14E-05,-2.42E-06,5.39E-17,-3.15E-18,19.85679192,0.065259369,19.85679192,2022 5 3,4800,1.36E+38,-7.91E+36,59702.32323,27.3232292,-15.94994166,0.065259369,0.033
2459702.824,g,5.20E-05,-2.23E-06,6.77E-17,-2.90E-18,19.61015477,0.047577486,19.61015477,2022 5 3,4800,1.70E+38,-7.29E+36,59702.32418,27.3241782,-16.19657881,0.047577486,0.033
2459702.849,r,8.08E-05,-3.76E-06,6.11E-17,-2.84E-18,19.13186559,0.051722815,19.13186559,2022 5 3,6300,1.53E+38,-7.14E+36,59702.34859,27.348588,-16.67486799,0.051722815,0.033
2459702.85,r,8.39E-05,-3.02E-06,6.34E-17,-2.28E-18,19.09030449,0.039798601,19.09030449,2022 5 3,6300,1.59E+38,-5.74E+36,59702.34954,27.349537,-16.71642909,0.039798601,0.033
2459702.85,r,8.71E-05,-3.34E-06,6.59E-17,-2.53E-18,19.04951438,0.042476142,19.04951438,2022 5 3,6300,1.65E+38,-6.35E+36,59702.35047,27.3504745,-16.75721921,0.042476142,0.033
2459702.863,r,7.98E-05,-3.50E-06,6.03E-17,-2.65E-18,19.14563238,0.048717339,19.14563238,2022 5 3,6300,1.51E+38,-6.65E+36,59702.36347,27.3634722,-16.66110121,0.048717339,0.033
2459702.864,r,8.73E-05,-2.99E-06,6.60E-17,-2.26E-18,19.04746105,0.0378793,19.04746105,2022 5 3,6300,1.66E+38,-5.68E+36,59702.36395,27.3639468,-16.75927254,0.0378793,0.033
2459707.725,r,0.000175558,-4.32E-06,1.33E-16,-3.27E-18,18.28901259,0.027074944,18.28901259,2022 5 8,6300,3.33E+38,-8.21E+36,59707.225,32.225,-17.51772099,0.027074944,0.033
2459707.767,r,0.00016198,-4.59E-06,1.22E-16,-3.47E-18,18.37641355,0.031197362,18.37641355,2022 5 8,6300,3.08E+38,-8.71E+36,59707.26692,32.2669213,-17.43032004,0.031197362,0.033
2459707.779,r,0.000173453,-4.82E-06,1.31E-16,-3.64E-18,18.30211354,0.030606275,18.30211354,2022 5 8,6300,3.29E+38,-9.16E+36,59707.27905,32.2790509,-17.50462005,0.030606275,0.033
2459707.781,r,0.000175808,-4.86E-06,1.33E-16,-3.67E-18,18.28747091,0.030411424,18.28747091,2022 5 8,6300,3.34E+38,-9.22E+36,59707.28139,32.2813889,-17.51926268,0.030411424,0.033
2459707.827,r,0.000160089,-5.33E-06,1.21E-16,-4.03E-18,18.38916172,0.036775677,18.38916172,2022 5 8,6300,3.04E+38,-1.01E+37,59707.32737,32.3273727,-17.41757187,0.036775677,0.033
