jd,mjd,mag,emag,corrmag,filter,UTC,redshift
2460077.861,60077.36137,16.5143628,0.020850534,19.05845566,ZTF_i,2023-05-13T08:40:21Z,0.025
2460077.906,60077.40567,16.81634916,0.035861626,18.77166,ZTF_g,2023-05-13T09:44:10Z,0.025
2460077.906,60077.40567,16.81629966,0.035861999,18.77159922,ZTF_g,2023-05-13T09:44:10Z,0.025
2460077.945,60077.44487,16.54140131,0.031729002,18.62964609,ZTF_r,2023-05-13T10:40:37Z,0.025
2460077.945,60077.44487,16.54135542,0.031729072,18.62959777,ZTF_r,2023-05-13T10:40:37Z,0.025
2460078.164,60077.664,19.166,0.0939,21.4486,uvot::uvw1,2023-05-13T15:56:09Z,0.025
2460078.165,60077.6651,17.4163,0.0613,20.5019,uvot::u,2023-05-13T15:57:44Z,0.025
2460078.166,60077.6656,16.7412,0.0549,19.7412,uvot::b,2023-05-13T15:58:27Z,0.025
2460078.167,60077.6671,20.1399,0.1106,22.1021,uvot::uvw2,2023-05-13T16:00:37Z,0.025
2460078.169,60077.6687,16.5834,0.0842,18.8769,uvot::v,2023-05-13T16:02:55Z,0.025
2460078.171,60077.6707,20.333,0.1245,22.0538,uvot::uvm2,2023-05-13T16:05:48Z,0.025
2460079.862,60079.3623,16.80610134,0.047432002,18.4578085,ZTF_g,2023-05-15T08:41:42Z,0.025
2460079.862,60079.3623,16.8060918,0.04743243,18.45778915,ZTF_g,2023-05-15T08:41:42Z,0.025
2460079.92,60079.4201,16.56550067,0.030517001,18.69603184,ZTF_r,2023-05-15T10:04:57Z,0.025
2460079.92,60079.4201,16.56549465,0.030516705,18.69603636,ZTF_r,2023-05-15T10:04:57Z,0.025
2460080.206,60079.7057,19.2196,0.0844,21.6349,uvot::uvw1,2023-05-15T16:56:12Z,0.025
2460080.207,60079.7073,17.5587,0.0577,20.6971,uvot::u,2023-05-15T16:58:30Z,0.025
2460080.208,60079.7081,16.8598,0.0512,19.9247,uvot::b,2023-05-15T16:59:39Z,0.025
2460080.21,60079.7097,20.5555,0.1207,22.2852,uvot::uvw2,2023-05-15T17:01:58Z,0.025
2460080.212,60079.7121,16.4351,0.0689,19.0616,uvot::v,2023-05-15T17:05:25Z,0.025
2460080.214,60079.7143,20.4859,0.1184,22.2551,uvot::uvm2,2023-05-15T17:08:35Z,0.025
2460081.781,60081.28086,16.88926706,0.023127465,19.32083277,sdssg,2023-05-17T06:44:26Z,0.025
2460081.782,60081.28249,16.53999067,0.014821695,19.45463176,sdssr,2023-05-17T06:46:47Z,0.025
2460081.784,60081.28413,16.56130245,0.019588615,19.17317893,sdssi,2023-05-17T06:49:08Z,0.025
2460082.353,60081.8525,19.4655,0.1048,21.4617,uvot::uvw1,2023-05-17T20:27:36Z,0.025
2460082.354,60081.854,17.5772,0.0626,20.5697,uvot::u,2023-05-17T20:29:45Z,0.025
2460082.355,60081.8546,16.9492,0.0574,19.8169,uvot::b,2023-05-17T20:30:37Z,0.025
2460082.356,60081.8558,20.5459,0.1313,22.1464,uvot::uvw2,2023-05-17T20:32:21Z,0.025
2460082.358,60081.858,16.6278,0.0818,18.9552,uvot::v,2023-05-17T20:35:31Z,0.025
2460082.36,60081.8596,20.634,0.1362,22.2008,uvot::uvm2,2023-05-17T20:37:49Z,0.025
2460082.798,60082.29784,16.28350098,0.059877999,17.68221857,ZTF_i,2023-05-18T07:08:52Z,0.025
2460082.865,60082.3645,16.58724981,0.028400479,18.79582144,ZTF_r,2023-05-18T08:44:52Z,0.025
2460082.865,60082.3645,16.58720028,0.0284,18.79579021,ZTF_r,2023-05-18T08:44:52Z,0.025
2460082.898,60082.39779,16.93239999,0.041315999,18.73399014,ZTF_g,2023-05-18T09:32:49Z,0.025
2460082.898,60082.39779,16.93238095,0.04131617,18.73396659,ZTF_g,2023-05-18T09:32:49Z,0.025
2460083.747,60083.2469,17.6481,0.077,20.2976,uvot::u,2023-05-19T05:55:32Z,0.025
2460083.747,60083.2473,16.9752,0.0692,19.582,uvot::b,2023-05-19T05:56:06Z,0.025
2460083.749,60083.2487,20.4578,0.1509,21.8767,uvot::uvw2,2023-05-19T05:58:07Z,0.025
2460083.75,60083.2497,16.6106,0.0972,18.7021,uvot::v,2023-05-19T05:59:34Z,0.025
2460083.752,60083.2519,20.5014,0.158,21.8405,uvot::uvm2,2023-05-19T06:02:44Z,0.025
2460084.108,60083.6075,19.4777,0.1014,21.5535,uvot::uvw1,2023-05-19T14:34:47Z,0.025
2460084.862,60084.36214,16.91920121,0.037349999,18.83036052,ZTF_g,2023-05-20T08:41:28Z,0.025
2460084.862,60084.36214,16.91917609,0.037350286,18.83032706,ZTF_g,2023-05-20T08:41:28Z,0.025
2460085.8,60085.29998,16.61930098,0.026425,18.90614926,ZTF_i,2023-05-21T07:11:58Z,0.025
2460085.8,60085.29998,16.6192837,0.02642514,18.90612625,ZTF_i,2023-05-21T07:11:58Z,0.025
2460085.838,60085.3382,19.5186,0.1122,21.456,uvot::uvw1,2023-05-21T08:07:00Z,0.025
2460085.934,60085.4338,17.7692,0.0932,20.1258,uvot::u,2023-05-21T10:24:40Z,0.025
2460085.934,60085.4342,17.0445,0.0825,19.3841,uvot::b,2023-05-21T10:25:14Z,0.025
2460085.935,60085.435,20.3749,0.1657,21.6915,uvot::uvw2,2023-05-21T10:26:23Z,0.025
